职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['IT培训咨询顾问    人工智能大数据区块链'],['1-1.5万/月'],['上海领象信息科技有限公司'],['民营公司| 500-1000人| 教育/培训/院校 计算机软件'],['上班地址 : 世纪大道1500号东方大厦4层'],['上海-浦东新区'],['1年工作经验'],['大专'],['2人'],['2019-09-13'],
['大数据销售经理'],['1.2-2万/月'],['北京中天恒瑞管理顾问有限公司'],['民营公司| 50-150人| 专业服务(咨询、人力资源、财会) 教育/培训/院校'],['上班地址 : 回龙观珠江摩尔国际大厦5号楼1单元'],['北京-昌平区'],['2年工作经验'],['本科'],['2人'],['2019-09-13'],岗位职责：1、根据公司销售规划和目标，负责公司产品的市场拓展；2、进行目标客户的开拓，建立稳定的客户关系；3、结合客户具体需求，制定实施销售方案；4、了解客户需求，推荐销售优势产品；5、确保销售业绩的达成与完成公司交于的其它任务；6、定期与老客户进行沟通，建立良好的长期合作关系，挖掘客户新需求。任职要求：1、大学本科以上学历，房地产、经济学、计算机、市场营销类专业优先；2、有教育培训销售经验优先考虑，有房地产行业销售经验者优先考虑；3、熟练掌握Office办公软件及网络应用；4、具备良好的学习能力、沟通能力、公关能力，性格坚韧，思维敏捷；5、热爱销售工作，能够承受一定的工作压力；6、有强烈的事业心、责任心和积极的工作态度。
['大数据开发工程师'],['20-40万/年'],['杭州广立微电子有限公司'],['民营公司| 50-150人| 电子技术/半导体/集成电路'],['上班地址 : 湖南省长沙市岳麓西大道588号芯城科技园2号栋1906室'],['长沙-岳麓区'],['本科'],[],['若干人'],['2019-09-13'],
['咨询顾问（大数据）'],['10-15万/年'],['国网思极飞天（兰州）云数科技有限公司'],['国企| 50-150人| 计算机服务(系统、数据服务、维修) 计算机软件'],['上班地址 : 七里河区西津东路体育街'],['兰州'],['硕士'],[],['若干人'],['2019-09-13'],
['大数据应用工程师（武汉）'],['1.5-2万/月'],['广州思迈特软件有限公司'],['民营公司| 计算机软件'],[],['武汉'],['本科'],[],['10人'],['2019-09-13'],岗位职责：参与公司大数据应用项目开发和实施，包括需求设计、ETL数据开发、报表开发、SQL编写，技术方案的支持、培训、答疑等工作。岗位要求；1、2020届软件工程、计算机、数学、统计学类类相关专业硕士、优秀本科毕业生；2、了解数据仓库、数据挖掘相关技术；3、熟悉Oracle或SQL server数据库，熟练使用SQL语言。
['D-大数据平台类'],[],['潍柴动力股份有限公司'],['国企| 电气/电力/水利'],[],['潍坊'],['本科'],[],['若干人'],['2019-09-13'],工作职责主要从事大数据平台规划建设、系统运维、集群搭建、部署、调优，以及大数据相关技术的开发应用等工作。专业需求计算机等相关专业。
['大数据工程师（北京）'],[],['中移信息技术有限公司'],['国企| 通信/电信运营、增值服务'],[],['北京'],['本科'],[],['若干人'],['2019-09-13'],岗位职责：1、负责大数据平台技术架构规划、设计、技术选型、数据架构规划与设计，制定数据模型的统一标准规范；搭建系统开发环境，完成大数据产品框架和代码的实现；负责系统开发测试、部署和集成； 2、负责大数据分析、挖掘、建模方法和算法研究及技术实现；根据需求设计分析模型和算法，分析运行情况并调整、优化；3、负责大数据平台和业务运营支撑工作，大数据运营数据的收集、整理、经营分析服务。任职要求：1、通信、计算机、数学、信息管理、电子、自动化等专业；大学本科及以上学历。2、熟悉计算机网络、操作系统、数据库等基本原理；熟悉数据仓库、数据挖掘等基础知识；3、熟悉MySQL/Oracle等数据库、 Hadoop/Spark/Hbase等技术组件；了解人工智能相关技术，掌握深度学习算法和TensorFlow技术框架等；善于思考，沟通能力强，良好的团队精神。
['大数据运营工程师-嘉兴地区'],[],['中国移动通信集团浙江有限公司'],['上市公司| 通信/电信/网络设备'],[],['嘉兴'],['本科'],[],['若干人'],['2019-09-13'],主要工作职责1、负责大数据应用需求收集、挖掘、分析、需求评估实现并进行跟踪优化等工作；2、负责大数据平台的应用维护，包括数据的同步、维护和模型发布；3、负责大数据知识、技术能力、产品应用的培训宣传推广工作。能力素质及知识技能要求1、2020届普通高等学校全日制应届本科及以上学历毕业生，计算机类、信息类、数学统计类等相关专业；英语CET-4成绩达到425分及以上；2、熟悉Hive/SQL或SAS/JAVA/R语言及Linux/Unix 平台开发，了解底层数据的架构技术以及应用层数据分析和算法的基本概念；3、具备敏锐的商业敏感度和市场意识；优秀的数据分析能力、逻辑思维能力、细节关注能力；能够开发创新而实际的分析方法以解决复杂的商业问题，认可公司文化。
['大数据开发工程师'],[],['2020年瓜子二手车技术校园招聘'],['民营公司| 计算机硬件'],[],['北京'],['本科'],[],['若干人'],['2019-09-13'],岗位职责1. 负责瓜子大数据平台的开发、部署工作； 2. 深度参与各个子模块系统的需求分析、设计、开发和持续优化； 3. 其他大数据相关创新性技术方案的开发与验证。岗位要求1.计算机相关专业，基础扎实，熟悉常用数据结构与算法； 2. 熟悉Java/C++/Python语言中的一种或多种；3. 有Hive、Hadoop、Spark、Flink、Kafka 、HBase等技术实践经验优先； 4. 有开发经验包括不限于Spring、Mybatis、Redis 、mysql等组件使用经验优先； 5.对新兴技术有好奇心，有利用技术解决实际问题的热情，开源社区积极参与者优先。
['大数据网络技术工程师'],[],['中国电信四川公司'],['国企| 通信/电信运营、增值服务'],[],['成都'],['本科'],[],['4人'],['2019-09-13'],一、工作内容网络技术类维护管理支撑、大数据中心及云计算技术研究及大数据中心对外合作项目管理二、学历要求国家统招全日制一本院校本科及以上学历或国外QS排名前200的院校本科及以上学历三、专业要求数学与应用数学、统计学、数量经济学、计算机类或通信类（包括计算机科学与技术、计算机软件、网络工程、软件工程、物联网工程、信息安全、信息管理与信息系统；通信工程、无线通信、电子信息工程等）四、工作地点成都
['大数据开发运营'],[],['中国电信上海公司'],['国企| 通信/电信运营、增值服务'],[],['上海'],['本科'],[],['30人'],['2019-09-13'],工作地点：上海学历要求： 本科及以上学历专业要求: 计算机、软件、数学、统计学类岗位职责 1、加入大数据挖掘建模团队，参与大数据相关的各类专题分析、深度挖掘等数据应用项目；2、承担部分模块的开发工作；3、能够编写项目相关的过程文档；4、承担大数据核心功能模块的开发与运维，承担部分大数据基础能力建设项目开发。应聘资格要求 1、教育背景：2020年全日制本科及以上学历应届毕业生； 2、能力要求：具有积极主动的工作态度，乐观向上的价值观，强烈的团队合作意识；有较强的学习能力，能够在一定时间里掌握工作相关技巧和岗位技能；掌握Hadoop技术基本原理与使用技能，SAS＼SPSS、R、Python、spark等数据挖掘和统计分析工具或语言；3、具有相关工作（实习）经验者优先；4、愿意长期与企业共同成长，并努力实现个人价值。
['储备项目经理（大数据应用方向）-中通信息服务有限公司（深圳）'],[],['中国通信服务股份有限公司'],['国企| 通信/电信运营、增值服务'],[],['深圳'],['本科'],[],['3人'],['2019-09-13'],工作地点 深圳市学历要求 本科及以上专业要求 计算机科学、软件工程、信息管理与信息系统、统计学、数学等相关专业应聘资格要求1、熟悉业界主流大数据产品，了解具备大数据应用的信息； 2、具备较强的数据分析能力、需求分析、挖掘能力、逻辑思维能力、沟通能力，能够有效整合团队资源推动业务发展；3、有一定的算法基础，有较强的学习能力，有独立分析和技术研究能力；4、优秀的团队合作精神。岗位职责1、负责公司业务方向大数据产品调研、产品规划、执行；2、深度挖掘大数据应用需求，设计大数据解决方案和产品； 3、组织产品的业务和研发，协调推动完成数据产品，包括产品文档撰写、原型设计、跟踪产品开发进展、发布、用户反馈跟进、产品迭代。
['新兴ICT及云网业务（大数据、云计算、物联网）信息化方案经理'],[],['中国电信江西公司'],['国企| 通信/电信运营、增值服务'],[],['新余'],['本科'],[],['若干人'],['2019-09-13'],工作地点 新余学历要求 全日制本科及以上专业要求 计算机、通信、电子、信息管理等相关专业岗位职责1、负责公司ICT项目，如云计算、物联网等项目的方案沟通、编制与设计；2、负责现场客户需求收集整理及确认和产品使用操作培训；3、负责项目技术方案撰写和项目跟进实施。应聘资格要求1.2020届全日制统招应届本科生和硕士生（不含专升本、二级学院）。2.英语水平：达到国家四级或四级考试425分以上。3.身体健康，举止大方，具备良好的素质修养。4、较强的执行能力、组织协调能力、学习分析能力、沟通协调能力及良好的文字表达能力。5具有较高的企业忠诚度和良好的道德修养，爱岗敬业，有事业心、责任心、团队合作精神。
['软件开发工程师（大数据方向）（北京）'],[],['中国电信研究院'],['国企| 通信/电信运营、增值服务'],[],['北京'],['硕士'],[],['1人'],['2019-09-13'],工作地点 北京学历要求 硕士专业要求 计算机软件及相关专业岗位职责 1、基于Spark、Hive、HBase等各类大数据处理组件，研发、优化大数据平台上的数据处理程序；2、负责大数据平台的技术选型与实际搭建，开展数据收集、计算、分析工作；3、追踪大数据领域的最新行业案例和热点新技术，周期性进行总结，主持技术分享会议；应聘资格要求 1、计算机类专业，硕士研究生学历；2、熟悉Java/Scala语言与Linux开发环境，掌握基本数据结构知识；3、了解大数据技术、分布式计算原理、数据实时计算方案及上述概念的实际应用场景，有相关课题研究或工程经验者优先；4、具备对实际问题的研究分析和改进能力，发表过相关学术论文或软件专利者优先；5、对大数据技术有研究热情，愿意追踪和探索新技术的应用领域，良好的沟通能力和团队意识。
['大数据应用挖掘工程师'],[],['中国电信海南公司'],['国企| 通信/电信运营、增值服务'],[],['海口'],['本科'],['英语熟练'],['1人'],['2019-09-13'],"工作地点 海口学历要求 本科及以上专业要求 统计学、数学或计算机类岗位职责 1.负责承接集团大数据精准营销及服务及精确管理工作在省内的落地支撑工作。2.负责利用省内大数据平台和传统经营分析数据的挖掘建模，支撑面向一线的应用需求。3.随着5G时代的到来，承担基于5G数据的大数据应用场景开展工作。4.进行大数据场景下的数据统计、数据挖掘、机器学习、深度学习，包括数据整理、模型建立、模型应用、评估优化等应聘资格要求 1、研究生：硕士学位、外语CET6级425分以上；本科生：学士学位、外语CET4达425分以上，相应的计算机能力；2、2020年应届全日制高校毕业生，综合素质优秀、在校表现及学绩良好、具有良好的团队合作精神； 3、专业基础扎实，思维敏捷，反应灵活，表达能力强；熟练掌握R/SAS/SPSS等至少一种数据挖掘工具，熟练使用Python等脚本语言；熟悉常用机器学习和数据挖掘算法，包括但不限于决策树，线性回归，系统过滤，支持向量机，神经网络等；Spark/Hadoop/HBase/Hive等大数据处理平台具备一定了解，有系统实际操作经验者优先；4、品行端正，身体健康，无传染性疾病。5、具有一定的创新思维及学习新知识的能力；6、具有一定的语言文字表达能力、人际交往能力，具有良好的敬业精神和职业道德；责任心强、具备优秀的学习能力，能独立分析和解决问题，具有较强的沟通技巧和团队协作能力；7、熟练操作计算机，会使用常用办公软件, 获得岗位相关资质证书者优先考虑。"
['大数据产品经理'],[],['中国电信集团总部'],['国企| 通信/电信运营、增值服务'],[],['北京'],['硕士'],[],['2人'],['2019-09-13'],工作地点：北京学历要求 ：硕士研究生学历及以上专业要求： 管理、统计、经济、软件工程等相关专业岗位职责 1、负责财务、人力、审计、战略等部门精确管理应用的需求承接、分析工作，进行数据关联、挖掘、统计和分析，并形成数据产品业务架构；2、负责大数据产品系统相关功能的设计、开发等系统建设和运维工作；3、负责中国电信全网精确管理产品的大数据应用分析实现以及全网推广工作；4、与其他管理专业配合，进行跨专业需求的分析、承接，跨专业系统的建设和运维工作。应聘资格要求 1、有良好的数理分析素养及数理统计基础，对数据有较强的敏感性和较强的逻辑分析能力；2、有良好的产品感觉和运营思维，有财务、人力、审计等方面知识者优先；3、有良好的计算机系统架构、网络、操作系统等基础，能熟练使用SQL语句者优先；4、具备良好的职业道德，严守企业核心秘密；较强的沟通能力和表达能力，有创新精神，乐于接受挑战，能承受工作压力，责任心强。
['大数据技术支撑'],[],['中国电信山东公司'],['国企| 通信/电信运营、增值服务'],[],['潍坊'],['本科'],[],['2人'],['2019-09-13'],工作地点：潍坊学历要求 ：2020年应届本科及以上学历专业要求： 通信、计算机相关专业岗位职责 1.配合业务部门给予数据支持，帮助业务部门优化运营服务，设计符合用户个性化需求的产品；2.通过大数据挖掘用户群体行为和属性特征，帮助业务单元更好的理解客户需求；3.参与大数据计算平台的架构建设，对用户数据进行分析关联，分析消费行为特征，提供相应的运营建议，增强用户黏性；4.IT服务管理制度流程的编制与执行管理:承接省公司服务流程并制定本地市相关流程；5.负责新产品及解决方案重大项目的突破支持。应聘资格要求 1.熟悉计算机软、硬件相关知识，对网络通信及通信协议有一定程度的掌握；2.对大数据分析有自己的独到见解，具备大数据分析的思路；3.熟悉MSSQL Oracle MySQL至少其中一种，能熟练使用oracle数据库者优先；4.熟练编写SQL脚本、熟练使用办公软件，掌握一种或几种数据分析工具；5.具有一定的计算机编码能力；6.有良好的团队合作意识和支撑服务意识；7.专业对口，成绩优良。
['大数据工程师'],[],['云计算分公司'],['国企| 通信/电信运营、增值服务'],[],['北京'],['本科'],[],['若干人'],['2019-09-13'],"工作地点：北京岗位职责1、合理转化业务部门原始需求并提供可有效执行的数据落地方案；2. 负责数据模型的设计、探索，并协同开发人员对算法进行集成实现；3. 负责模型效果的追踪、检视及优化，并撰写汇报数据分析建模报告；4. 洞察大数据行业动态及市场需求变化，整合有利资源，持续探索、构建并固化自有大数据能力体系；5、负责机器学习、自然语言处理、深度学习等人工智能技术的研究与探索，根据应用场景设计、优化算法模型。应聘资格要求1、全日制统招本科及以上学历，计算机、通信工程、自动化、应用数学、电子工程、信息安全等相关专业应届生；2、具备独立完成数据分析、挖掘及建模工作能力，熟练掌握至少一门程序开发或数据分析语言，如Python、Java、R等；3、熟悉常用机器学习算法、深度学习算法及其原理，至少对机器学习、自然语言处理、深度学习中的一个领域有深入理解，熟悉当前普及的机器学习、深度学习框架 ，如Scikit-Learn，Tensor Flow, Pytorch,等；4. 具备优秀的沟通协作、解决问题及学习分析能力，擅长整合利用资源，同时具有强烈的工作责任感及主观能动性。"
['大数据研发工程师'],[],['系统集成有限责任公司'],['国企| 通信/电信运营、增值服务'],[],['北京'],['本科'],[],['4人'],['2019-09-13'],工作地点：北京学历要求： 本科及以上 专业要求 ：通信、软件工程、计算机等相关专业毕业岗位职责 1.负责大数据实时＼离线处理程序开发。根据产品需求，设计开发数据处理程序(Spark，hive等)；实时数据处理程序(SparkStreaming等)；2.面向业务目标，对数据模型、数据分布、数据传输、数据存储等方面进行大数据场景的功能开发。3.参与项目需求分析和分项设计工作。应聘资格要求 1.本科及以上学历，计算机相关专业，有大数据相关实习经验者优先；2.熟悉linux系统，熟练掌握JAVA或Scala语至少一种；3.熟悉一种关系型数据库，具备一定的SQL功底；4.有较好的沟通交流能力，较强的抗压能力，对自己的输出负责。5.熟悉以下任一技术栈者优先：Hadoop生态，HDFS/Hbase/Hive；MapReduce，Spark；HBase、Kafka；Flink；Sparkstreaming；
['产品类（大数据应用）'],[],['中国电信湖南公司'],['国企| 通信/电信运营、增值服务'],[],['长沙'],['本科'],[],['1人'],['2019-09-13'],工作地点 长沙市学历要求 国家计划内统招应届大学本科及以上学历，在2020年7月10日前能按时取得国家规定的学历和学位。专业要求 数据科学与大数据技术、大数据管理与应用等相关专业岗位职责 1.进行客户价值分析及大数据应用和精准建模；2.根据存量客户活动策划，精准筛选目标客户，提升营销成功率；3.负责目标客户数据分发和解读；4.负责客户经营工作的日常调度、执行管控并跟踪数据，进行销售过程的分析、调优以及效果评估；5.参与客户经营专业化培训与认证。应聘资格要求 1.院校要求：一本本科、西安邮电大学本部。2.英语水平要求:全国英语四级考试成绩425分以上。3.身体状况要求：身体健康，达到国家公务员通用体检标准。 4.在校表现要求：品行端正，学习成绩优良，遵纪守法，在校期间无记过处分及以上等级违纪违法处理的不良记录。5.诚信要求：必须保证应聘资料的真实、准确。应聘资料如有严重虚假内容或应聘过程中有作弊行为的，将取消其应聘资格；已聘用和签订聘用劳动合同的，将取消聘用，或解除其聘用劳动合同。
['湖北财务共享服务中心财务大数据分析工程师'],[],['中国电信湖北公司'],['国企| 通信/电信运营、增值服务'],[],['武汉'],['本科'],[],['若干人'],['2019-09-13'],工作地点 武汉招聘人数 若干学历要求 全日制本科及以上专业要求 计算机、电子信息、软件开发、大数据、统计学、数学等相关专业岗位职责 1、负责根据集团，省公司发现战略及重点业务，重点营销资源，开展业财融合的跨域数据分析，为公司经营决策提供支撑2、负责梳理MBO域数据流程，实现业财数据贯通，提升财务数据质量3、负责根据需求，提供定制化数据分析及建议，支撑业务前端应聘资格要求 1、对数据挖掘领域兴趣浓厚，能够不断的自我学习2、对统计学和数据挖掘算法原理有较为深刻的理解3、熟练使用excel、PPT，具备良好的分析能力，有SQL/VBA基础者优先4、具有良好的逻辑分析能力、沟通能力和文字表达能力
['大数据工程师'],[],['方正国际软件(北京)有限公司'],['国企| 计算机软件'],[],['北京'],['本科'],[],['8人'],['2019-09-13'],我们需要你：1、负责使用机器学习算法解决常见的业务问题；2、掌握数据采集、数据清洗、数据检测等数据数据分析操作流程；3、精通Hadoop大数据平台框架，熟悉Spark、Hive、HBase、Impala、Storm等组件的应用设计及开发，能够独立完成Hadoop环境的搭建及管理；4、熟悉关系型数据库（OracleSQL ServerMysql），可熟练编写SQL语句，了解SQL性能调优。5、主要负责公司软件产品的开发工作。当然！我们希望你是：1、学历要求：2020届本科、硕士、博士；2、专业要求：数学、统计学、运筹学、计算机、GIS或相关专业；3、素质要求：具有相关数据分析、数据挖掘项目经验，稳重、踏实、勤奋，拥有积极开放的心态，具备良好的沟通能力、学习能力、以及独立解决问题能力。4、户口指标，择优解决户口
['302研发工程师-大数据'],[],['嘉兴运达智能设备'],['民营公司| 交通/运输/物流'],[],['上海'],['本科'],[],['若干人'],['2019-09-13'],专业要求：软件工程或计算机相关专业。能力要求：1、熟悉Java、Python、Scala等一种或多种语言；2、了解Spark或Hadoop、Kafka、Hive、HBase、ZooKeeper等大数据相关技术；3、了解Redis、Mongodb、MySQL等关系型和非关系型数据库；4、了解Linux 操作系统；5、了解整个大数据的完整处理流程，包括数据的采集、清洗、预处理、存储、分析挖据、机器学习和数据可视化。
['大数据工程师'],[],['北京万集科技股份有限公司'],['外资（欧美）| 电子技术/半导体/集成电路'],[],['北京'],['硕士'],[],['若干人'],['2019-09-13'],"岗位职责：1、负责大规模数据分析与挖掘、机器学习、深度学习、信息安全加密等领域的研发和应用；2、负责相关产品关键算法的仿真和开发实现，包括原始特征挖掘、规则衍生和验证、模型训练、实施、以及在线学习方案实施；3、负责深入分析现有算法，了解业务需求，给出有效的优化解决方案，将数据分析结果应用到实际业务场景，并能产生商业价值；4、负责前沿算法研究，行业相关技术预研；5、能够制定有效项目进度管理机制，按照项目上线时间表，推进项目研发工作。。任职要求：1、统计、计算机，数学等专业本科以上学历；2、有大数据和人工智能领域有相关项目经验者优先，有智能交通项目背景者优先；2、熟悉常见数据挖掘算法，并有具体应用、调优经验；3、熟练掌握SQL、R/Python/matlab至少一种、以及相关进行大规模分析的工具，Coding能力较强，有C++和Java语言编程经验的优先；4、熟悉Hadoop/Spark/Hive等大数据分布式平台；5、熟悉大规模分布式机器学习框架，比如Spark MLLib, MPI, Parameter Server和流行的深度学习开源工具，比如Caffe，Theano, Torch, TensorFlow, MXNet, CNTK 等；6、具有较强的逻辑思维能力，良好的沟通能力和团队合作精神，有一定的组织协调能力和较好的抗压能力。"
['研究员（大数据方向）'],[],['深圳国家高技术产业创新中心'],['事业单位| 非营利组织'],[],['深圳'],['本科'],[],['1人'],['2019-09-13'],（一）岗位职责：1.开展大数据相关技术、规划的研究论证工作；2.研究建立大数据产业标准体系和统计指标体系；3.研究制定基础共性、重点应用和关键技术标准；4.探索建立大数据交易流通机制和规范程序。（二）学历要求国内外重点院校，全日制本科或以上学历（三）专业及经验要求：1.信息管理、计算机相关专业优先；2.熟悉大数据技术发展趋势和主流技术架构，如Hadoop、HBase等；3.具有产业和行业分析的相关基础知识，熟悉有关的法律法规。
['大数据应用开发'],[],['中国移动通信有限公司销售分公司'],['国企| 通信/电信运营、增值服务'],[],['杭州'],['本科'],[],['若干人'],['2019-09-13'],主要工作职责：1、根据产品运营及生产需求，对业务数据进行挖掘分析，为专项问题提供数据支撑及优化建议；2、收集业务需求，不断完善数据常态化的提取机制，搭建业务监控指标体系；3、参与运营方案、需求分析，真正融入产品及业务，为产品运营及业务侧做好大数据分析与应用。岗位要求：1、2020届普通高等学校全日制本科及以上毕业生，计算机类、通信类、电子类、信息类、统计类、数学类等相关专业；英语通过CET-6 425分及以上；2、熟练使用SQL提取数据，熟练操作SAS、SPSS等数据分析/挖掘工具；3、具备敏锐的数据观察和分析能力、良好的书面表达能力；对行为分析感兴趣，喜欢从数据中发现规律，乐于大数据的研究与运用。
['大数据应用分析岗'],[],['中国电信股份有限公司北京分公司'],['国企| 通信/电信/网络设备'],[],['北京'],['硕士'],[],['若干人'],['2019-09-13'],专业要求：计算机、信息安全类、电子信息类、通信类、统计学相关专业优先。学历要求：全日制硕士及以上学历岗位职责：负责营销策划、存量经营、流量经营、服务感知、企业管理等方向的大数据建模、应用与分析。任职资格：1、2020届全日制应届毕业生，具有良好的政治素养和思想道德水平，遵规守法、踏实肯干，敢于挑战困难；2、熟悉各类数据库操作，精通SQL语言。3、熟悉至少一门静态编程语言（如java、c++）和至少一门动态编程语言（如python）；4、扎实的机器学习理论基础及丰富的实践经验。熟悉常见的数据挖掘算法，对模型有深刻的理解，熟悉聚类/分类、预测、关联等。
['大数据设计工程师（广州花都）'],[],['深圳联友科技有限公司'],['合资| 物业管理/商业中心'],[],['广州'],['本科'],[],['5人'],['2019-09-13'],专业:统计学、数学等相关专业任职要求:1、2020年毕业的全日制本科生或者研究生，且能如期获得毕业证及学位证书；2、所应聘岗位相关专业毕业，扎实的专业知识基础；3、英语CET-4（425分以上）岗位职责:1、负责大数据平台软件环境搭建及维护；2、负责大数据技术的研究及应用；3、负责异构数据收集并加载到大数据平台；4、负责网络数据抓取规划并提供网络信息提取解决方案。工作地点：广州花都
['大数据平台开发工程师'],[],['康佳集团股份有限公司'],['合资| 家具/家电/玩具/礼品'],[],['深圳'],['本科'],[],['若干人'],['2019-09-13'],专业要求：1、扎实的统计学、机器学习或自然语言处理等理论基础，一年以上数据挖掘项目实践经验；2、熟悉数据结构、数据挖掘中常用算法，并对机器学习算法和理论有较深入的研究，优先解决实际问题；3、熟悉http网络协议，java或python任意一种两年以上的开发经验，熟悉数据库原理，至少熟练使用一种主流关系数据库，熟练使用linux命令，有良好的shell功底；4、熟悉hadoop生态系统，有过集群部署经验或相关实践经验者优先岗位职责：1、负责公司大数据平台整体的维护工作，保证大数据平台的正常运作；2、配合业务发展的需要，扩展数据分析的业务模块，提供数据产出；3、监控公司大数据系统整体架构的运作，故常处理和持续进行调优工作；4、配合大数据平台的迭代开发，能够承担ETL程序以及挖掘算法的设计。
['物业系统-大数据管培生'],[],['华润置地-物业总公司'],['国企| 房地产'],[],['深圳'],['硕士'],[],['若干人'],['2019-09-13'],"岗位职责：1、参与治理企业核心数据，实现业务数据实时监控，挖掘业务运营数据价值；2、参与建设主数据平台、数据分析平台，对物业全量数据进行关联计算分析；3、参与建设商业智能BI平台，全天候业务实时监控。任职要求：1、全日制研究生及以上学历,计算机、统计、数学、通信等理工类相关专业；2、熟悉数据库、数据仓库，有mysql等数据库软件使用经验；3、熟练或精通至少一门编程语言，熟练使用常用算法；4、熟悉机器学习、数据挖掘、数据分析、分布式计算至少一方面，对数据较为敏感；"
['大数据基础架构研发工程师'],[],['贵州宽凳智云科技有限公司北京分公司'],['民营公司| 计算机服务(系统、数据服务、维修)'],[],['北京'],['本科'],[],['若干人'],['2019-09-13'],【工作职责】1.负责公司内部大数据平台的选型与优化工作；2.参与整体系统架构的规划，维护公司的大数据生产平台，不断优化系统性能；3.开发适合公司业务的大数据框架，并协助其他部门开发与优化出高效的并行计算程序；4.开发适合公司业务的大数据存储平台，完成PB级别的高性能存储作业。【任职要求】1.985/211本科及以上学历，计算机相关专业，有良好的计算机基础；2.熟悉Java语言，熟练使用Idea或Eclipse，有第二门语言者优先（Python，C++）；3.熟悉Centos、Ubuntu、等Linux操作系统; 4.熟悉Hadoop/Hbase的各类配置与插件开发，有过源码修改与插件开发经验者优先；5.有过大型项目（使用人数超过100万，日均pv超过1亿）的参与经验优先。福利待遇实习日薪本科：200-300元；硕士：300-400元；博士：400-500元正式年薪本科：15-45W；硕士：30-60W；博士：45-90W公司福利七险一金，股票期权，餐补，下午茶，免费零食，健身房&游泳，定期团建，按摩，年度体检等。应聘指引应聘流程简历投递→提前批面试→现场笔试→面试→offer→入职线上投递通道：zhaopin@kuandeng.com 官方网站：www.kuandeng.com
['大数据应用专员'],['6-8千/月'],['如新（中国）日用保健品有限公司'],['外资（欧美）| 生活服务'],[],['上海'],['无工作经验'],['本科'],['1人'],['2019-09-13'],"1. Support line manger to collect relevant data across all major acquisition channels (email/website/social media/search ).2. Support research into new analytics packages and provide recommendations.3. Effectively respond to ad hoc report and analysis requests from marketing team leads, and other departments.4. Make data analysis plan and KPI for all digital platforms.5. Monitor 3rd party vendors and IT team to ensure that all data is accurately being captured and reported."
['产品经理-大数据/物联网/云计算方向'],[],['中国移动通信集团北京有限公司'],['国企| 通信/电信/网络设备'],[],['北京'],['本科'],[],['若干人'],['2019-09-13'],工作职责：1.负责个人、家庭类（视频、家庭信息化等）或政企类（IDC、云业务、物联网、大数据、能力开放等）产品管理工作；2.负责产品需求调研、开发、上线、运营、营销策划、体验等端到端闭环管理;3.负责跟踪产品上线效果，统计产品数据，整理、分析、输出运营报告，指导产品优化及运营；4.负责跟进产品关键指标，及时发现异常，指导后续产品开发及运营策略调整；5.负责业务发展质量提升，健康度管理；6.负责合作伙伴引入、业务整合工作。任职资格：1.2020届国内外高等院校应届毕业生 全日制本科及以上学历;2.海外高校应聘者需具备国家教育部认可的学历学位;3.获得国家大学英语CET-4及以上合格证书，如其他语种为相当等级;4.在校期间成绩达标，无不良记录;5.身心健康;6.认可企业文化。任职资格补充：1.通信、计算机、数学、自动化、人工智能、物联网、大数据、物理等专业优先;2.熟悉IDC、云业务、大数据、物联网等业务、移动通信网络等技术知识者优先；3.有一定的IT产品管理经验及项目管理经验者优先；4.具备良好的责任心、逻辑思维能力和沟通协调能力。
['人工智能/大数据工程师'],[],['北方自动控制技术研究所'],['政府机关| 学术/科研'],[],['太原'],['硕士'],[],['若干人'],['2019-09-13'],学历要求：博士、硕士专业要求：智能科学与技术、模式识别与智能系统、数据科学与大数据技术
['数据分析师（健康医疗大数据方向）'],[],['北大医疗信息技术有限公司'],['国企| 计算机软件'],[],['北京'],['本科'],[],['1人'],['2019-09-13'],岗位职责1.负责医学数据的分析挖掘，以及临床数据分析工具构建；2.配合产品经理及研发人员，参与健康医疗大数据相关产品的调研、分析、设计及研发管理等工作；3.利用自身的医学知识和统计学知识，参与医学数据建模、术语标注等研发和测试工作。任职要求1.临床医学相关专业背景，本科及以上学历，熟悉临床科研流程，与医学专家能够顺畅交流。2. 了解数据分析的一般方法，擅长使用R等统计分析工具进行数据分析，有大数据分析、机器学习、数据可视化等相关经验者优先。3.擅长独立分析问题和解决问题，思考问题全面，有责任心，可以接受短期出差。
['大数据'],[],['上海宝信软件股份有限公司'],['合资| 计算机软件'],[],['上海'],['本科'],[],['若干人'],['2019-09-13'],技能要求1.掌握常见的Hadoop相关技术（如HDFS、Hbase、Yarn、Zookeeper、Hive、Impala等），了解使用流式计算框架（如Spark Streaming、Flink等）。2.具有linux操作系统和数据库基础知识。3.有良好的设计通用框架及模块的能力。4.有技术的研究能力，善于进行技术突破。其他要求1.认同公司文化和价值观，无不良记录。2.专业基础扎实，有良好的学习能力和创新精神。3.具备良好的逻辑思维能力和沟通表达能力。4.具备良好的团队合作精神、人际关系能力，工作积极主动。5.原则上需通过大学英语四/六级考试（或取得其他语种相当等级）。
